Date,Open,High,Low,Close,Volume
2015-04-07,3.19,3.39,3.15,3.39,96528
2015-04-08,3.36,3.36,3.21,3.27,26526
2015-04-09,3.27,3.3,3.23,3.26,10397
2015-04-10,3.21,3.37,3.21,3.36,51746
2015-04-13,3.41,3.83,3.38,3.47,95773
2015-04-14,3.56,3.58,3.42,3.43,47043
2015-04-15,3.49,3.49,3.34,3.38,18925
2015-04-16,3.35,3.53,3.35,3.4,19060
2015-04-17,3.22,3.32,3.22,3.29,46523
2015-04-20,3.3,3.39,3.28,3.33,60182
2015-04-21,3.33,3.38,3.22,3.22,14200
2015-04-22,3.26,3.34,3.15,3.22,70547
2015-04-23,3.18,3.2,3.09,3.11,28744
2015-04-24,3.21,3.21,3.1,3.11,16776
2015-04-27,3.14,3.14,2.89,2.94,63351
2015-04-28,2.97,3.05,2.87,2.89,44673
2015-04-29,2.85,2.94,2.8,2.89,19515
2015-04-30,2.83,2.83,2.68,2.7,40547
2015-05-01,2.68,2.69,2.58,2.63,22514
2015-05-04,2.44,2.69,2.25,2.66,65301
2015-05-05,2.55,2.67,2.41,2.45,45807
2015-05-06,2.45,2.74,2.45,2.67,100731
2015-05-07,2.6,2.73,2.47,2.54,60099
2015-05-08,2.5,2.8,2.5,2.74,93655
2015-05-11,2.82,2.95,2.75,2.77,43915
2015-05-12,2.8,2.85,2.76,2.76,15900
2015-05-13,2.75,2.8,2.6,2.61,25023
2015-05-14,2.62,2.78,2.62,2.65,20200
2015-05-15,2.64,2.65,2.5,2.53,29115
2015-05-18,2.58,2.69,2.51,2.54,43865
2015-05-19,2.5,2.67,2.5,2.56,31149
2015-05-20,2.59,2.6,2.5,2.58,29644
2015-05-21,2.58,2.58,2.35,2.35,109488
2015-05-22,2.43,2.43,2.2,2.28,61220
2015-05-26,2.28,2.28,2.18,2.2,41203
2015-05-27,2.14,2.19,1.93,1.97,126904
2015-05-28,1.92,2.33,1.92,1.97,134844
2015-05-29,2.05,2.05,1.77,1.84,275720
2015-06-01,1.85,1.9,1.62,1.67,148061
2015-06-02,1.67,1.95,1.66,1.8,212404
2015-06-03,1.96,2.06,1.92,1.95,292797
2015-06-04,2.13,2.15,1.97,2.05,194619
2015-06-05,2.09,2.1,1.9,1.93,132265
2015-06-08,1.95,1.99,1.91,1.91,92864
2015-06-09,1.95,2.0,1.85,1.85,110423
2015-06-10,1.85,1.86,1.79,1.8,97696
2015-06-11,1.75,1.8,1.64,1.67,369200
2015-06-12,1.68,1.72,1.63,1.68,139306
2015-06-15,1.63,1.68,1.63,1.66,50672
2015-06-16,1.71,1.74,1.65,1.69,232563
2015-06-17,1.72,1.75,1.51,1.56,229050
2015-06-18,1.59,1.66,1.54,1.65,74589
2015-06-19,1.69,1.69,1.59,1.67,82657
2015-06-22,1.64,1.76,1.6,1.74,98329
2015-06-23,1.68,1.75,1.68,1.69,95728
2015-06-24,1.72,1.74,1.6,1.62,42942
2015-06-25,1.63,1.7,1.63,1.63,85329
2015-06-26,1.65,1.75,1.52,1.52,234757
2015-06-29,1.52,1.54,1.36,1.39,223366
2015-06-30,1.43,1.45,1.4,1.43,129631
2015-07-01,1.46,1.5,1.41,1.42,48452
2015-07-02,1.45,1.45,1.37,1.44,73053
2015-07-06,1.36,1.41,1.36,1.38,54229
2015-07-07,1.37,1.39,1.3,1.32,122184
2015-07-08,1.31,1.36,1.3,1.31,49322
2015-07-09,1.35,1.47,1.33,1.41,95490
2015-07-10,1.43,1.45,1.39,1.42,22396
2015-07-13,1.42,1.45,1.4,1.42,54658
2015-07-14,1.43,1.43,1.37,1.37,28857
2015-07-15,1.35,1.45,1.35,1.4,36229
2015-07-16,1.49,1.52,1.42,1.49,73629
2015-07-17,1.47,1.49,1.41,1.42,42445
2015-07-20,1.42,1.44,1.34,1.37,66740
2015-07-21,1.38,1.44,1.37,1.4,28469
2015-07-22,1.36,1.4,1.36,1.39,16992
2015-07-23,1.38,1.43,1.38,1.4,28294
2015-07-24,1.38,1.43,1.38,1.42,29213
2015-07-27,1.38,1.41,1.31,1.31,96313
2015-07-28,1.31,1.36,1.2,1.2,136142
2015-07-29,1.2,1.37,1.17,1.28,82894
2015-07-30,1.32,1.42,1.22,1.28,47243
2015-07-31,1.24,1.25,1.06,1.14,235216
2015-08-03,1.12,1.12,1.05,1.11,119587
2015-08-04,1.14,1.14,1.05,1.05,90897
2015-08-05,1.02,1.06,0.9,0.95,207781
2015-08-06,0.92,0.99,0.85,0.95,195245
2015-08-07,0.96,0.99,0.91,0.94,86361
2015-08-10,0.94,0.97,0.9,0.95,90981
2015-08-11,0.95,1.02,0.88,0.9,495624
2015-08-12,0.9,0.95,0.87,0.92,65800
2015-08-13,0.9,0.96,0.9,0.92,49577
2015-08-14,0.9,0.94,0.74,0.79,211155
2015-08-17,0.79,0.87,0.63,0.64,495256
2015-08-18,0.63,0.7,0.63,0.66,265409
2015-08-19,0.63,0.66,0.59,0.59,305686
2015-08-20,0.59,0.66,0.56,0.65,150809
2015-08-21,0.65,0.79,0.64,0.78,315295
2015-08-24,0.75,0.85,0.67,0.73,193210
2015-08-25,0.84,0.89,0.82,0.85,112601
2015-08-26,0.96,0.98,0.86,0.88,142566
2015-08-27,0.88,0.94,0.88,0.9,82516
2015-08-28,0.9,1.06,0.9,1.04,141232
2015-08-31,1.07,1.73,1.04,1.4,1375285
2015-09-01,1.38,1.51,1.22,1.27,353137
2015-09-02,1.29,1.34,1.13,1.14,217725
2015-09-03,1.16,1.34,1.14,1.25,128341
2015-09-04,1.28,1.39,1.22,1.22,191372
2015-09-08,1.28,1.38,1.25,1.34,171156
2015-09-09,1.36,1.53,1.36,1.49,289053
2015-09-10,1.55,1.55,1.22,1.29,305114
2015-09-11,1.21,1.28,1.13,1.25,121736
2015-09-14,1.23,1.28,1.14,1.16,97416
2015-09-15,1.17,1.23,1.14,1.18,76788
2015-09-16,1.19,1.22,1.13,1.19,112180
2015-09-17,1.19,1.29,1.19,1.29,54066
2015-09-18,1.29,1.31,1.23,1.25,88302
2015-09-21,1.25,1.3,1.14,1.17,68424
2015-09-22,1.15,1.18,0.96,1.0,165273
2015-09-23,1.1,1.1,0.93,0.95,121763
2015-09-24,0.94,0.94,0.79,0.89,139941
2015-09-25,0.86,0.93,0.83,0.88,104404
2015-09-28,0.88,1.01,0.88,0.97,95229
2015-09-29,0.98,1.0,0.9,0.9,56319
2015-09-30,0.9,0.94,0.82,0.85,89427
2015-10-01,0.85,0.93,0.82,0.84,51970
2015-10-02,0.82,0.86,0.82,0.86,47342
2015-10-05,0.83,0.88,0.83,0.85,64970
2015-10-06,0.88,0.9,0.85,0.9,13043
2015-10-07,0.87,0.88,0.83,0.86,44162
2015-10-08,0.89,0.89,0.82,0.83,68471
2015-10-09,0.82,0.88,0.82,0.86,13845
2015-10-12,0.87,0.87,0.78,0.79,49384
2015-10-13,0.78,0.78,0.67,0.68,241750
2015-10-14,0.71,0.74,0.69,0.71,94782
2015-10-15,0.71,0.73,0.69,0.72,93323
2015-10-16,0.72,0.72,0.63,0.68,220232
2015-10-19,0.66,0.69,0.63,0.64,134693
2015-10-20,0.66,0.66,0.63,0.63,51232
2015-10-21,0.66,0.66,0.58,0.6,81425
2015-10-22,0.64,0.64,0.57,0.57,72156
2015-10-23,0.58,0.65,0.58,0.6,56296
2015-10-26,0.6,0.66,0.56,0.58,45923
2015-10-27,0.58,0.6,0.53,0.54,141732
2015-10-28,0.54,0.59,0.54,0.58,69549
2015-10-29,0.56,0.67,0.55,0.65,183141
2015-10-30,0.62,0.69,0.58,0.6,239283
2015-11-02,0.8,0.8,0.6,0.63,176273
2015-11-03,0.65,0.7,0.62,0.64,56810
2015-11-04,0.64,0.68,0.61,0.65,161375
2015-11-05,0.65,0.65,0.61,0.62,95172
2015-11-06,0.62,0.63,0.57,0.58,86310
2015-11-09,0.58,0.63,0.58,0.62,74246
2015-11-10,0.6,0.62,0.59,0.61,66897
2015-11-11,0.62,0.63,0.58,0.63,189717
2015-11-12,1.22,1.7,1.15,1.37,19486901
2015-11-13,1.43,1.49,1.2,1.26,5088862
2015-11-16,1.24,1.45,1.13,1.33,2717207
2015-11-17,1.3,1.55,1.21,1.47,1922300
2015-11-18,1.48,1.65,1.4,1.51,1716542
2015-11-19,1.81,2.25,1.58,1.67,8030601
2015-11-20,1.85,1.99,1.68,1.79,3965454
2015-11-23,1.76,1.85,1.56,1.56,1399684
2015-11-24,1.63,1.93,1.56,1.8,2508570
2015-11-25,1.85,1.85,1.71,1.76,577340
2015-11-27,1.81,2.34,1.74,2.2,2973486
2015-11-30,2.2,3.47,2.06,3.25,18386770
